Duration (in seconds),Timepoint,Condition,Participant ID,Group,age,Gender,NAO_safe,NAO_competence,NAO_reliable,NAO_empathetic,NAO_scary,NAO_uncomfortable,NAO_social,Blossom_safe,Blossom_competent,Blossom_reliable,Blossom_empathetic,Blossom_scary,Blossom_uncomfortable,Blossom_social,Marty_safe,Marty_competent,Marty_reliable,Marty_empathetic,Marty_scary,Marty_uncomfortable,Marty_social,"SOAS_1:  I feel that this object has a mind with intentions 
",SOAS_2:  I feel that this object has likes and dislikes,SOAS_3: I feel that this object needs friends,SOAS_4:  I feel that this object knows what happens to it,SOAS_5:  I feel that this object can be excited or bored,SOAS_6:  I feel that this object can be scared or calm,SOAS_7: I feel that this object knows right from wrong,attachment_1:  I feel emotionally connected to Marty,attachment_2. Marty is very dear to me,attachment_3. I have a bond with Marty,attachment_4r. Marty has no special meaning for me (-),attachment_5r. Marty does not move me (-),intention_1. I would like to see Marty again,intention_2.  I would like to play again with Marty,intention_3. It would be nice if Marty and I could do something together again,intention_4. I would like to take Marty home,MAILS_1. I can tell if I am dealing with an application based on artificial intelligence. ,MAILS_2. I can program new applications in the field of ”artificial intelligence”. ,"MAILS_3. Although there are often new AI applications, I manage to always be ”up-to date”. ",MAILS_4. I can handle it when interactions with AI frustrate or frighten me ,MAILS_5. I can weigh the consequences of using AI for society. ,MAILS_6. I can design new AI applications. ,MAILS_7. I can use artificial intelligence meaningfully to achieve my goals. ,MAILS_8. I can also usually solve strenuous and complicated tasks when working with artificial intelligence well. ,MAILS_9. I can prevent an AI from influencing me in my decisions. ,MAILS_10. I can assess what advantages and disadvantages the use of an artificial intelligence entails. ,robotparts_1,robotparts_2,sensors_1,sensors_2,microcontrollers_1,microcontrollers_2,AI_DA09: What characteristics differentiate AI from previous IT applications?,CA12: Which of the following examples is NOT AI?,CI29: An app convert the style of your face to a Van Gogh painting. What is the main task of this AI?,"CI31: Supervised, unsupervised, and reinforcement learning 1",UA19: reinforcement learning,"GA10: What is a ""prompt""?","LLMdesign_1: When designing a prompt for an LLM, which of the following instructions could produce a worse response?",GA13: Which of the following best describes how generative AI works?,EA05: Biases,GA04: Hallucinations,PR1,PR2,PR3,PR4,GA17: AI Ethics 1,GA16: AI Ethics 2,EA11: What risks and challenges does using AI solutions entail?,LLM_Microcontrollers_1,LLM_Microcontrollers_2,LLM_Microcontrollers_3,LLM_Microcontrollers_4,LLM_Microcontrollers_5,LLM_Microcontrollers_6,LLM_Microcontrollers_7,LLM_Microcontrollers_8,Count_LLM_Microcontollers,googled,googled_time,googled_time_3_TEXT,googled_topics,googled_topics_6_TEXT,friends,friends_time,friends_time_3_TEXT,friends_who,friends_who_4_TEXT,attentioncheck,attentioncheck2
1030,T1,Experimental,1,1,13,1,4,4,4,5,1,1,5,6,6,6,6,1,1,4,4,6,7,6,1,1,6,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,10,1,6,10,10,1,10,6,11,10,1,99,1,99,99,99,99,99,1,99,99,99,5,99,99,0,99,99,99,0,99,99,0,,,,,,,,,,,,,,,,,,,,,
1020,T1,Experimental,2,1,13,1,7,7,6,5,2,1,6,7,3,4,5,1,2,6,7,5,4,4,3,2,6,2,2,2,2,2,2,2,3,3,2,2,3,4,4,4,2,10,2,6,2,4,2,11,10,7,5,99,0,1,99,1,99,99,99,99,99,99,99,1,99,1,1,99,99,99,0,99,0,99,,,,,,,,,,,,,,,,,,,,,
1205,T1,Experimental,3,2,13,1,4,6,4,3,1,2,5,4,5,3,4,1,1,6,7,4,3,5,1,1,4,2,2,2,1,1,3,3,2,2,2,4,2,4,4,4,5,8,3,8,9,6,6,7,7,9,4,99,1,1,1,99,0,99,0,99,99,99,99,2,99,99,0,99,0,99,0,99,99,99,,,,,,,,,,,,,,,,,,,,,
1274,T1,Experimental,4,3,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,7,6,9,11,8,9,4,4,11,11,99,1,1,99,99,99,0,99,1,1,0,99,4,0,99,99,0,99,99,0,99,1,99,,,,,,,,,,,,,,,,,,,,,
1656,T1,Experimental,5,4,14,1,4,6,4,5,4,4,5,3,4,4,4,2,4,5,4,5,5,5,4,4,5,2,1,2,3,2,2,2,1,2,1,2,3,3,4,3,2,8,4,8,5,4,4,8,5,8,5,1,1,1,0,0,0,99,1,1,0,99,99,1,99,99,99,1,0,99,1,99,99,99,,,,,,,,,,,,,,,,,,,,,
2295,T1,Experimental,6,3,13,1,2,6,4,1,1,1,7,6,7,5,3,1,2,4,2,5,4,3,1,6,7,1,2,2,1,1,1,2,2,2,2,4,4,3,3,3,4,6,1,10,7,6,1,3,6,11,9,99,0,99,0,99,0,0,99,99,0,99,99,1,1,0,99,1,99,99,0,99,0,99,,,,,,,,,,,,,,,,,,,,,
1347,T1,Experimental,7,4,14,1,7,4,6,6,1,1,6,6,5,6,6,1,1,6,6,5,6,5,3,1,6,3,3,3,2,2,3,3,1,5,4,1,4,5,5,5,5,3,3,9,10,8,3,8,11,2,11,0,99,1,0,99,0,0,99,99,0,0,99,4,99,99,99,0,99,99,0,99,0,99,,,,,,,,,,,,,,,,,,,,,
1356,T1,Experimental,8,1,13,1,7,7,7,5,1,1,7,7,7,6,4,1,2,4,7,7,7,4,1,1,7,1,1,2,2,1,1,1,2,3,3,4,5,2,4,5,5,9,8,8,8,10,11,11,10,10,11,99,99,99,99,99,99,99,99,99,99,99,99,5,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,
1490,T1,Experimental,9,5,14,1,3,5,6,2,1,7,2,3,4,5,5,1,2,2,2,5,2,3,3,4,4,2,1,3,2,1,1,2,1,1,1,2,2,2,2,2,1,9,2,4,5,10,3,10,9,11,8,0,1,1,1,99,99,0,0,1,0,0,99,2,0,99,1,0,1,1,1,0,0,99,,,,,,,,,,,,,,,,,,,,,
1447,T1,Experimental,10,2,13,1,3,6,4,5,1,1,7,1,7,5,7,7,4,5,3,7,6,2,1,1,6,1,2,2,2,2,3,3,3,1,2,4,4,3,4,3,5,10,5,7,10,6,5,9,8,8,6,0,1,1,0,0,1,0,1,1,0,0,0,4,1,1,0,1,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,
1882,T1,Experimental,11,2,14,1,6,6,6,7,1,1,7,2,3,2,6,5,2,3,5,4,5,3,1,1,6,2,1,1,1,1,1,3,1,1,1,5,4,3,2,3,4,9,11,10,8,5,8,11,11,9,10,1,1,1,1,99,1,0,1,0,0,0,0,3,1,99,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,
1516,T1,Experimental,12,4,16,1,7,6,7,6,1,1,7,6,7,7,7,1,1,7,7,7,7,6,1,1,7,3,3,3,3,3,3,3,2,4,4,2,2,5,5,5,5,8,1,11,7,11,4,11,7,11,11,0,0,1,0,1,99,0,99,0,1,99,99,4,99,99,99,0,0,99,99,99,0,99,,,,,,,,,,,,,,,,,,,,,
1026,T1,Experimental,13,3,13,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,3,1,1,1,1,5,3,1,1,1,1,9,3,9,1,11,2,11,7,9,8,0,0,1,1,1,99,1,1,1,0,0,99,5,0,0,0,1,99,0,99,99,1,1,,,,,,,,,,,,,,,,,,,,,
1309,T1,Experimental,14,5,13,1,1,5,4,1,3,1,1,3,1,1,1,1,7,1,7,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,2,5,11,11,11,11,9,8,10,9,11,9,0,99,1,1,99,99,1,0,1,99,99,99,5,99,1,0,0,0,0,0,0,0,99,,,,,,,,,,,,,,,,,,,,,
1221,T1,Experimental,15,5,13,1,3,4,4,3,5,1,4,5,5,5,6,1,2,4,5,6,5,5,2,1,4,2,2,2,3,3,3,1,4,3,3,2,3,4,5,4,4,3,4,3,5,8,4,9,9,9,7,99,99,0,0,99,99,99,0,1,99,99,99,5,99,99,99,0,0,99,0,99,0,99,,,,,,,,,,,,,,,,,,,,,
1725,T1,Experimental,16,1,14,1,6,4,3,6,2,2,5,6,4,7,6,1,1,6,7,7,6,5,1,2,5,1,2,3,3,3,3,2,3,5,4,1,1,4,4,4,5,9,7,9,8,8,10,11,10,9,9,1,0,0,0,1,0,99,99,0,0,99,99,5,0,99,99,1,0,1,0,99,1,1,,,,,,,,,,,,,,,,,,,,,
